ID,CaseNumber,Date,Block,IUCR,PrimaryType,Description,LocationDescription,Arrest,Domestic,Beat,District,Ward,CommunityArea,FBICode,XCoordinate,YCoordinate,Year,UpdatedOn,Latitude,Longitude,Location
11360967,JB324348,6/27/2018 1:08,039XX W ALTGELD ST,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,TRUE,FALSE,2524,25,30,22,5,1149856,1916338,2018,07-09-2018 16:13,41.92634597,-87.72477083,"(41.926345966, -87.724770832)"
11361819,JB325171,6/27/2018 15:50,0000X N STATE ST,460,BATTERY,SIMPLE,SMALL RETAIL STORE,TRUE,FALSE,112,1,42,32,08B,1176365,1900502,2018,07-09-2018 16:13,41.88233367,-87.62784179,"(41.88233367, -87.627841791)"
11362031,JB325400,6/27/2018 18:45,039XX W ARTHINGTON ST,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,TAVERN/LIQUOR STORE,TRUE,FALSE,1132,11,24,26,3,1150160,1895742,2018,07-09-2018 16:13,41.86982252,-87.72419111,"(41.869822522, -87.724191109)"
11363213,JB327109,6/28/2018 23:15,069XX S JEFFERY BLVD,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,STREET,TRUE,TRUE,332,3,5,43,04B,1190740,1859442,2018,07-09-2018 16:13,41.76932651,-87.57638608,"(41.769326512, -87.576386076)"
11364655,JB328886,6/30/2018 6:40,015XX E 67TH PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,TRUE,FALSE,332,3,5,43,7,1187757,1860542,2018,07-09-2018 16:13,41.77241653,-87.58728523,"(41.772416526, -87.587285227)"
11365704,JB330407,6/30/2018 16:00,041XX N CICERO AVE,554,ASSAULT,AGG PO HANDS NO/MIN INJURY,ALLEY,TRUE,FALSE,1624,16,45,15,08A,1143627,1927187,2018,07-09-2018 16:13,41.95623566,-87.74738724,"(41.956235659, -87.747387243)"
11365715,JB330318,07-01-2018 07:30,062XX S DR MARTIN LUTHER KING JR DR,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,311,3,20,40,08B,1179993,1863671,2018,07-09-2018 16:13,41.78118411,-87.61564981,"(41.781184105, -87.615649806)"
11366472,JB331471,07-02-2018 02:56,004XX E 64TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,312,3,20,42,18,1180481,1862680,2018,07-09-2018 16:19,41.77845351,-87.61389111,"(41.778453514, -87.613891108)"
11366473,JB331404,07-02-2018 01:15,024XX E 74TH PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,334,3,7,43,08B,1194048,1856025,2018,07-09-2018 16:19,41.75986948,-87.56437269,"(41.759869483, -87.564372685)"
11366474,JB331475,07-02-2018 03:46,111XX S LANGLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,TRUE,FALSE,531,5,9,50,14,1182902,1831328,2018,07-09-2018 16:19,41.69236415,-87.60598702,"(41.692364149, -87.605987023)"
